"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"29",664129,"Hartlieb, Geoff","29","100.0","0.400","0.400","0.400","0.800","0.577","0.418","0.254","2","5","85.9","-8.6","2406","93.9","94.29","0","13","16","0.4","6.43","125","149","124","145","305","321","281"
"28",605218,"Edwards Jr., Carl","28","100.0","0.750","1.000","1.000","1.750","0.972","0.619","0.414","3","4","93.1","10.3","2479","85.9","86.55","3","9","19","0.7","6.65","108","142","115","140","307","325","300"
"28",669424,"Lambert, Jimmy","28","100.0","0.333","0.000","0.400","0.333","0.325","0.263","0.241","4","12","78.7","24.4","2165","94.0","93.31","2","17","11","-0.7","5.86","108","151","113","150","295","304","286"
"28",570240,"Peña, Félix","28","100.0","0.400","0.000","0.500","0.400","0.504","0.499","0.355","2","5","82.5","26.0","2216","92.5","91.74","3","10","18","-0.8","5.98","107","149","119","153","304","325","296"
"27",657610,"Hildenberger, Trevor","27","100.0","0.500","0.000","0.500","0.500","0.549","0.460","0.231","2","4","86.6","31.0","1944","88.8","87.41","0","10","17","-1.4","5.54","110","155","121","150","294","322","298"
"26",660546,"Díaz, Yennsy","26","100.0","0.000","0.000","0.000","0.000","0.231","0.289","0.081","0","4","95.7","7.5","1990","92.7","92.08","2","11","15","-0.6","6.11","105","151","106","150","298","323","296"
"23",656730,"Megill, Trevor","23","100.0","0.333","0.000","0.400","0.333","0.351","0.198","0.114","2","6","89.3","7.8","2491","96.6","97.76","3","11","12","1.2","6.86","108","157","115","148","309","328","300"
"23",666619,"Santos, Gregory","23","100.0","0.400","1.200","0.000","1.600","0.793","0.596","0.344","2","5","97.0","38.8","2342","97.7","98.07","3","12","11","0.4","6.47","113","150","108","149","304","316","291"
"22",660813,"Graterol, Brusdar","22","100.0","0.600","0.200","0.600","0.800","0.619","0.477","0.440","3","5","93.8","-6.2","2093","99.0","97.95","1","11","11","-1.0","5.61","111","150","116","150","308","318","289"
"22",656970,"Smeltzer, Devin","22","100.0","0.000","0.000","0.000","0.000","0.121","0.357","0.285","0","5","87.7","15.6","2303","85.0","84.30","1","13","9","-0.7","5.94","103","159","113","151","300","326","297"
"22",543766,"Shaw, Bryan","22","100.0","0.250","0.250","0.750","0.500","0.342","0.221","0.186","3","12","91.1","17.0","2219","82.6","81.30","9","15","7","-1.3","5.68","116","157","126","154","287","325","302"
"22",573668,"Minaya, Juan","22","100.0","0.400","1.200","0.000","1.600","0.779","0.730","0.384","2","5","96.6","40.5","2316","93.5","93.95","2","8","14","0.4","6.65","108","154","115","150","301","329","295"
"21",573131,"Ruf, Darin","21","100.0","0.600","0.400","0.500","1.000","0.565","0.437","0.367","3","5","93.3","25.5","1862","75.2","74.27","1","12","9","-0.9","5.26","115","150","129","150","306","329","293"
